الرقم والاسم,النظرية التربوية,الخماسية الإجرائية الكاملة,الأداة التقنية,معيار النجاح/الأثر
1. منحى النظم (Systems Approach),النظرية العامة للنظم / السلوكية الحديثة,1. التحليل: تحديد المدخلات (طلاب، أهداف). 2. التصميم: رسم مخطط التدفق للمحتوى. 3. الإنتاج: إعداد الوسائط والأنشطة. 4. التنفيذ: تقديم الدروس. 5. التغذية الراجعة: تقويم المخرجات وتعديل العمليات.,Lucidchart,تنظيم فائق للعملية التعليمية وضمان جودة المخرجات
2. القبعات الست للتفكير (Six Thinking Hats),النظرية المعرفية (توجيه الانتباه),1. البيضاء: عرض المعلومات والحقائق المجردة. 2. الحمراء: التعبير عن المشاعر والحدس. 3. السوداء/الصفراء: نقد السلبيات ثم استعراض الإيجابيات. 4. الخضراء: ابتكار حلول وبدائل. 5. الزرقاء: تلخيص النتائج واتخاذ القرار.,Miro,يمنع تضارب الآراء ويحفز التفكير المتوازي
3. التعلم القائم على الظواهر (Phenomenon-based learning),البنائية الاجتماعية / التعلم السياقي,1. اختيار الظاهرة: اختيار حدث واقعي. 2. التساؤل: طرح أسئلة عابرة للتخصصات. 3. البحث: جمع بيانات من مواد مختلفة. 4. الإنتاج: تصميم مشروع يفسر الظاهرة. 5. المشاركة: عرض الحلول أمام جمهور حقيقي.,Google Earth,يربط التعليم بالواقع بشكل كلي ونبذ المعرفة الخاملة
4. التعلم بالاستقصاء (Inquiry-Based Learning),البنائية (جان بياجيه),1. المواجهة: عرض مشكلة أو سؤال محير. 2. الافتراض: صياغة الطلاب لفرضيات تفسيرية. 3. التحقق: جمع الأدلة والتجريب. 4. التفسير: صياغة الاستنتاجات بناءً على الأدلة. 5. التأمل: مراجعة مسار التفكير الذي تم اتباعه.,Labster,ينمي مهارات التفكير الناقد والمنهج العلمي
5. الفصل المقلوب (Flipped Classroom),التعلم المدمج (Blended Learning),1. الإعداد: تجهيز فيديو أو مادة معرفية خارج الصف. 2. الاستيعاب الذاتي: مشاهدة الطلاب للمحتوى فردياً. 3. التطبيق الصفي: حل أنشطة تطبيقية داخل الفصل. 4. التعميق: مناقشات جماعية متقدمة. 5. التقويم: قياس الفهم عبر اختبارات قصيرة ذكية.,Edpuzzle,يستغل وقت الصف في الأنشطة العليا (تحليل، تركيب)
6. التعلم القائم على المشروعات (PBL),البنائية (جون ديوي),1. السؤال الجوهري: طرح مشكلة تتطلب حلاً ملموساً. 2. التخطيط: وضع جدول زمني وتوزيع الأدوار. 3. البحث والابتكار: بناء المنتج أو الحل. 4. المراجعة: النقد البناء من الأقران والمعلم. 5. العرض: تقديم المنتج النهائي للجمهور.,Trello,يعزز مهارات العمل الجماعي والقيادة والإنتاجية
7. التعلم القائم على المشكلات (PrBL),المعرفية الاجتماعية,1. التقديم: عرض مشكلة غير صياغية (Ill-structured). 2. تحديد الفجوات: ماذا نعرف؟ وماذا نحتاج لتعلمه؟ 3. التعلم الذاتي: البحث عن معلومات لسد الفجوة. 4. التطبيق: استخدام المعلومات الجديدة لحل المشكلة. 5. التقويم: نقد الحلول المقترحة وعملية التعلم.,Padlet,يرفع دافعية التعلم الذاتي والقدرة على حل المشكلات
8. استراتيجية جيغسو (Jigsaw Strategy),التعلم التعاوني,1. المجموعات الأم: تقسيم الطلاب لمجموعات غير متجانسة. 2. توزيع المهام: منح كل طالب جزءاً من الموضوع. 3. مجموعات الخبراء: اجتماع الطلاب ذوي نفس الجزء لتعميقه. 4. العودة والتلقين: يعود الخبير لتعليم مجموعته الأم. 5. الاختبار: تقييم فردي لضمان مسؤولية الجميع.,Zoom Breakout Rooms,تلغي الاتكالية وتزيد من ثقة الطالب بنفسه
9. خرائط المفاهيم (Concept Mapping),النظرية المعرفية (أوزوبل),1. تحديد المفهوم: اختيار الفكرة المركزية. 2. العصف الذهني: استخراج المفاهيم الفرعية ذات الصلة. 3. التنظيم: ترتيب المفاهيم من العام إلى الخاص. 4. الربط: وضع كلمات ربط توضح العلاقات بين المفاهيم. 5. المراجعة: تدقيق الروابط العرضية (Cross-links).,MindMeister,تجعل التعلم ذا معنى وتكشف التصورات البديلة
10. التدريس التبادلي (Reciprocal Teaching),ما وراء المعرفة / البنائية الاجتماعية,1. التنبؤ: توقع محتوى النص من العناوين. 2. التساؤل: صياغة أسئلة حول النقاط الغامضة. 3. التوضيح: شرح المصطلحات الصعبة. 4. التلخيص: تكثيف الأفكار الأساسية. 5. تبادل الأدوار: قيام الطالب بدور المعلم في قيادة المناقشة.,Actively Learn,تحسن مهارات الفهم القرائي والاستيعاب
11. التعلم باللعب (Gamification),السلوكية (التعزيز) / الحافز الذاتي,1. تحديد الأهداف: صياغة الأهداف التعليمية كـ مهمات. 2. تصميم النظام: اختيار النقاط، الشارات، ولوحة الصدارة. 3. وضع القواعد: تحديد كيفية الفوز والانتقال للمستويات. 4. التنفيذ: إطلاق التحدي مع تغذية راجعة فورية. 5. التكريم: تقديم مكافآت معنوية أو مادية للنتائج.,Classcraft,رفع هائل للدافعية والمشاركة داخل البيئة الصفية
12. الاستقصاء العادل (Jurisprudential Inquiry),النظرية الاجتماعية (دونالد أوليفر),1. عرض القضية: طرح قضية جدلية (قانونية أو أخلاقية). 2. تحديد القيم: استخراج القيم المتصارعة في القضية. 3. اتخاذ موقف: صياغة الطلاب لمواقفهم الأولية. 4. المرافعة: الدفاع عن الموقف بالأدلة والمنطق. 5. إعادة الفحص: مراجعة الموقف الشخصي بعد المناقشة.,Kialo Edu,تنمي مهارات الحوار الديمقراطي والتفكير النقدي
13. التعلم بالاكتشاف (Discovery Learning),البنائية (جيروم برونر),1. إثارة التساؤل: تقديم لغز أو موقف يتطلب تفسيراً. 2. جمع المعلومات: إتاحة مصادر متنوعة للطلاب لاستكشافها. 3. المعالجة: ربط المعلومات الجديدة بالخبرات السابقة. 4. الاستبصار: لحظة الوصول للقاعدة أو المفهوم (Eureka). 5. التعميم: تطبيق ما تم اكتشافه على مواقف جديدة.,PhET Interactive Simulations,بقاء أثر التعلم لفترة طويلة وتنمية الفضول العلمي
14. فكر-زاوج-شارك (Think-Pair-Share),البنائية الاجتماعية (فيجوتسكي),1. فكر (فردي): صمت للتفكير في سؤال المعلم. 2. زاوج (ثنائي): مناقشة الفكرة مع الزميل المجاور. 3. شارك (جماعي): عرض ما اتفق عليه الثنائي للفصل. 4. التدوين: كتابة الخلاصة النهائية للنقاش. 5. التدقيق: مراجعة المعلم للإجابات المختارة.,Mentimeter,توفر بيئة آمنة للمشاركة وتقليل الرهبة الاجتماعية
15. النمذجة (Modeling),التعلم الاجتماعي (باندورا),1. الانتباه: عرض المعلم للمهارة بوضوح (نموذج حي). 2. الاحتفاظ: شرح الخطوات لفظياً ليحفظها الطالب. 3. الإنتاج: قيام الطالب بمحاكاة المهارة تحت الإشراف. 4. الدافعية: تقديم تغذية راجعة إيجابية للمحاولات. 5. الإتقان: الممارسة المستقلة حتى الوصول للمهارة.,Flip,فعالة في المهارات العملية والأدائية والمهنية
16. التعلم القائم على التحدي (CBL),البنائية الحديثة (التعلم الأصيل),1. الفكرة الكبرى: طرح موضوع عالمي (مثل نقص المياه). 2. التحدي: صياغة سؤال محدد قابل للحل محلياً. 3. الأنشطة الاستقصائية: البحث والتحليل للوصول لحل. 4. الحل: تنفيذ الحل فعلياً على أرض الواقع. 5. النشر: مشاركة النتائج مع المجتمع الخارجي.,Basecamp,إحداث تأثير حقيقي خارج أسوار المدرسة
17. استراتيجية KWL (جدول التعلم),النظرية المعرفية (ما وراء المعرفة),1. K (أعرف): استدعاء الخبرات السابقة عن الموضوع. 2. W (أريد): تحديد فجوات المعرفة والأهداف الشخصية. 3. البحث: البدء في عملية التعلم والقراءة. 4. L (تعلمت): تلخيص ما تم تحصيله فعلياً. 5. التوسع: طرح أسئلة جديدة ناتجة عن التعلم.,Padlet,تشرك الطالب في التخطيط لتعلمه ومراقبة نموه
