الرقم والاسم,الأساس الفلسفي,الخماسية الإجرائية الكاملة دون نقص,دور المعلم والمتعلم,الأداة التقنية,الأثر/المعيار,الالرقم والاسم
1. الطريقة الاستقرائية (Inductive Method),المنطق التجريبي (فرانسيس بيكون): الانتقال من الجزئيات إلى الكليات لبناء القواعد العامة.,1. عرض الأمثلة: تقديم حالات جزئية متنوعة تنطبق عليها القاعدة. 2. الفحص والملاحظة: توجيه الطلاب لاستكشاف الخصائص المشتركة بين الأمثلة. 3. المقارنة والربط: تحليل أوجه الشبه والاختلاف بين الحالات المعروضة. 4. صياغة التعميم: صياغة القاعدة العامة أو القانون الذي يجمع الجزئيات. 5. التطبيق والتحقق: استخدام القاعدة الجديدة لحل حالات إضافية.,المعلم: مهيئ للأمثلة وموجه للاستكشاف. المتعلم: ملاحظ ومحلل ومستنتج للقاعدة.,Quizlet,نعتبر أن المعلم قد نجح عندما يتمكن المتعلم من إعادة شرح المسار المنطقي الذي سلكه للوصول للنتيجة.,
2. الطريقة الاستنتاجية (Deductive Method),المنطق الصوري (أرسطو): الانتقال من العام إلى الخاص، وتطبيق القواعد على الجزيئات.,1. عرض القاعدة: تقديم القانون العام أو النظرية بوضوح في بداية الدرس. 2. تفسير المفهوم: شرح المصطلحات والمقدمات المنطقية للقاعدة. 3. تقديم الحالات: عرض مواقف خاصة يُراد فحص انطباق القاعدة عليها. 4. الاستدلال المنطقي: تحليل الحالة الخاصة بناءً على شروط القاعدة العامة. 5. الوصول للنتيجة: إصدار الحكم النهائي بصحة انطباق القاعدة على الحالة.,المعلم: مفسر للقانون ومراقب لسلامة الاستنتاج. المتعلم: مطبق للقواعد ومختبر للحالات الخاصة.,Wolfram Alpha,القدرة على تطبيق القانون في سياق خاص ومبرهن منطقياً.,
3. طريقة المحاضرة (Lecture Method),الفلسفة المثالية (نقل المعرفة): التركيز على المحتوى وخبرة المعلم كمصدر أساسي.,1. المقدمة الاستهلالية: تهيئة الطلاب وجذب انتباههم وتحديد الأهداف. 2. العرض المنظم: سرد المادة العلمية بتسلسل منطقي (من السهل للصعب). 3. الربط والتوضيح: استخدام التشبيهات لربط المعلومات الجديدة بالسابقة. 4. التلخيص الجزئي: التوقف الدوري لإبراز النقاط الجوهرية التي تم عرضها. 5. الغلق والتقويم: مراجعة شاملة وطرح أسئلة للتأكد من وصول المعلومات.,المعلم: مرسل للمعلومة ومنظم للمجال المعرفي. المتعلم: مستمع نشط ومدون للملاحظات.,Nearpod,وصول المعلومات الأساسية لكافة الطلاب وتحقيق أهداف الدرس المعرفية.,
4. الطريقة الحوارية السقراطية,فلسفة التوليد (سقراط): إخراج المعرفة الكامنة عبر الأسئلة المتدرجة والمستفزة للعقل.,1. طرح السؤال الجوهري: البدء بسؤال عام يثير فضول المتعلم حول مفهوم ما. 2. السبر والتقصي: طرح أسئلة فرعية بناءً على إجابات المتعلم لكشف تناقضاته. 3. الشك المنتج: إيصال المتعلم لحالة من الحيرة (الارتباك المنتج) تجاه قناعاته. 4. توجيه الاستبصار: أسئلة تقود المتعلم لإعادة بناء المفهوم بشكل صحيح. 5. تعميم المعنى: صياغة الحقيقة النهائية التي تم التوصل إليها بالحوار.,المعلم: محاور ذكي ومستفز للعمليات الذهنية. المتعلم: باحث عن الحقيقة ومولد للأفكار.,Parlay Ideas,توليد المعنى من قبل المتعلم ذاتياً من خلال الحوار المنطقي.,
5. طريقة حل المشكلات (Problem Solving),البنائية (جون ديوي): التعلم عبر مواجهة تحديات واقعية تتطلب تفكيراً منظماً.,1. الشعور بالمشكلة: إحساس المتعلم بوجود عائق أو موقف محير يحتاج تفسيراً. 2. تحديد المشكلة: صياغة المشكلة في شكل سؤال دقيق ومحدد الأبعاد. 3. فرض الفروض: توليد حلول مؤقتة أو تفسيرات محتملة للمشكلة. 4. اختبار الفروض: جمع البيانات أو التجريب للتحقق من صحة الفروض. 5. التعميم (الحل): اختيار الفرض الصحيح وتطبيقه كحل نهائي للمشكلة.,المعلم: ميسر ومزود بالمصادر ومراقب للمسار. المتعلم: باحث ومجرب ومحلل للبيانات والنتائج.,Padlet,حل العائق واكتساب مهارة التفكير المنهجي لمواجهة المشكلات.,
6. طريقة العرض العملي (Demonstration),الواقعية (التعلم بالملاحظة): إيضاح المهارات الصعبة عبر النموذج الحي.,1. التهيئة الأداتية: تجهيز الأدوات وشرح احتياطات السلامة والأهداف. 2. الأداء النموذجي: قيام المعلم بأداء المهارة ببطء ووضوح تام. 3. الشرح المصاحب: التعليق اللفظي على كل خطوة حركية أثناء الأداء. 4. الممارسة الموجهة: قيام بعض الطلاب بتقليد الأداء تحت إشراف المعلم. 5. التقييم والتصحيح: تقديم تغذية راجعة فورية لتعديل المسارات الحركية.,المعلم: مؤدٍ للمهارة (نموذج) ومصحح للأداء. المتعلم: ملاحظ دقيق ومقلد للمهارة وممارس لها.,Flip,إتقان المهارة الأدائية ومحاكاتها بدقة وفق النموذج المعياري.,
7. طريقة القصص التعليمية,الفلسفة الوجدانية (السرد المعرفي): تأطير المعرفة في قالب درامي مشوق.,1. اختيار العقدة: تحديد الهدف التعليمي وتغليفه في مشكلة درامية. 2. بناء السياق: وصف الزمان والمكان والشخصيات المرتبطة بالمحتوى. 3. سرد الأحداث: تقديم المادة العلمية كجزء من حبكة القصة وتطورها. 4. الذروة والحل: الوصول للنقطة التي تفرض استخدام المفهوم العلمي للحل. 5. الاستنتاج القيمي: استخراج الدروس التعليمية والتربوية المستفادة.,المعلم: حكواتي بارع ومحفز للخيال الوجداني. المتعلم: متخيل ومتفاعل وجدانياً ومستنبط للمعاني.,Book Creator,بقاء أثر التعلم في الذاكرة طويلة المدى المرتبطة بالمشاعر.,
8. طريقة المناقشة الجماعية,البنائية الاجتماعية (فيجوتسكي): بناء المعنى عبر التفاعل اللفظي والاجتماعي.,1. تحديد المحور: طرح موضوع أو قضية قابلة للجدل وتعدد الآراء. 2. وضع القواعد: الاتفاق على آداب الحوار وتوزيع الأدوار (مدير، مسجل). 3. إدارة الحوار: طرح الأفكار وتبادل الحجج بين أفراد المجموعات. 4. التنقيح والموازنة: نقد الأفكار المطروحة واختيار الأكثر منطقية منها. 5. صياغة التقرير: تلخيص ما تم الاتفاق عليه كإجابة نهائية للمجموعة.,المعلم: مدير للجلسة ومنظم لحركة الحوار. المتعلم: متحدث ومستمع وناقد ومفاوض معرفي.,Miro,الوصول لاتفاق جماعي مبني على الحجة والمنطق.,
9. طريقة المختبر (Laboratory),الواقعية العلمية (التجريب): إثبات الحقائق عبر الممارسة المعملية المباشرة.,1. التخطيط التجريبي: فهم التجربة والأدوات وخطوات العمل المخبري. 2. التنفيذ الإجرائي: القيام بالخطوات العملية بدقة (مزج، قياس، تسخين). 3. رصد الملاحظات: تدوين التفاعلات أو التغيرات التي تحدث أثناء التجربة. 4. تحليل النتائج: ربط ما حدث عملياً بالنظريات المكتوبة في الكتاب. 5. كتابة التقرير: صياغة الاستنتاج العلمي النهائي بناءً على المشاهدة.,المعلم: مشرف على السلامة وموجه تقني للأدوات. المتعلم: مجرب عملي وراصد للبيانات ومحلل مخبري.,Arduino Science Journal,تطابق النتيجة العملية مع النظرية العلمية المذكورة.,
10. طريقة الاستقصاء العلمي,المنهج العلمي (البحث والتحري): البحث عن المعرفة المجهولة بأسلوب منهجي.,1. توليد السؤال: صياغة سؤال بحثي نابع من ملاحظة ظاهرة غامضة. 2. جمع المعلومات: البحث في المصادر المتاحة حول الظاهرة محل الدراسة. 3. تصميم التجربة: وضع خطة عملية للتحقق من السؤال البحثي. 4. تحليل البيانات: استخدام الأدوات الإحصائية أو المنطقية لفهم النتائج. 5. إعلان النتائج: نشر الاستنتاج العلمي ومناقشته مع المجتمع الأكاديمي.,المعلم: مستشار بحثي ومحفز للتفكير التساؤلي. المتعلم: باحث مستقل ومنتج للمعلومة الجديدة.,Google Scholar,الوصول لحقيقة علمية جديدة مدعومة بالبرهان التجريبي.,
11. طريقة الاكتشاف الموجه,البنائية (جيروم برونر),1. مواجهة الموقف: عرض موقف محير أو تجربة ناقصة تثير تساؤلاً. 2. تقديم التلميحات: طرح أسئلة استراتيجية توجه تفكير المتعلم نحو الأنماط دون كشف الحل. 3. جمع ومعالجة البيانات: قيام المتعلم بملاحظة النتائج وتصنيف المشاهدات. 4. صياغة التعميم: كتابة القاعدة المستنتجة بناءً على التوجيهات السابقة. 5. التحقق الاستباقي: تطبيق القاعدة على موقف جديد للتأكد من دقتها.,المعلم: ميسر يقدم السقالات التعليمية. المتعلم: منتج للمعنى يربط بين المثير والتلميحات.,PhET Interactive Simulations,قدرة المتعلم على صياغة الاستنتاج بالاعتماد على تلميحات المعلم الذكية.,
12. طريقة الاكتشاف الحر,البنائية الراديكالية,1. إعداد البيئة الغنية: توفير موارد متنوعة (أدوات، كتب، عينات) دون تعليمات مسبقة. 2. اختيار نقطة البدء: يحدد المتعلم المشكلة التي تثير فضوله الشخصي داخل البيئة. 3. الممارسة والتحري: إجراء محاولات عشوائية ثم منظمة للوصول لفهم العلاقات. 4. لحظة الاستبصار: التوصل الذاتي للعلاقات المنطقية بين المتغيرات (Eureka moment). 5. المشاركة والمناقشة: عرض ما تم اكتشافه على الأقران لتثبيت المعرفة.,المعلم: مراقب وموفر للمواد. المتعلم: مستكشف مستقل يتحمل مسؤولية تحديد المشكلة والحل.,Google Arts & Culture,التوصل لاستنتاج منطقي سليم بجهد بحثي مستقل تماماً عن توجيه المعلم.,
13. طريقة المشروع,البنائية (جون ديوي),1. اختيار المشروع: تحديد هدف واقعي نابع من حاجة المتعلم. 2. وضع الخطة: رسم المسار الزمني، توزيع المهام، وتحديد الموارد المطلوبة. 3. التنفيذ الإجرائي: العمل الفعلي على بناء المنتج أو إجراء البحث الميداني. 4. التقويم المرحلي: مراجعة جودة العمل في كل خطوة وتعديل الانحرافات. 5. العرض والتقويم النهائي: تقديم المنتج النهائي ونقد العملية التعليمية التي تمت.,المعلم: مستشار تقني ومدير مسار. المتعلم: مهندس ومدير عمل يخطط وينفذ ويقيم مخرجاته.,Trello / Notion,تسليم منتج ملموس يعكس تكامل المعارف والمهارات التي تم تعلمها.,
14. طريقة الندوة التعليمية,البنائية الاجتماعية,1. تحديد المحور: اختيار قضية جدلية تحتاج لرؤى متعددة (مثل الذكاء الاصطناعي). 2. توزيع الرؤى: تقسيم المتعلمين لمجموعات، كل مجموعة تتبنى وجهة نظر مدعومة بالأدلة. 3. العرض والمناقشة: تقديم كل فريق لرؤيته ثم فتح باب الحوار البيني المتكافئ. 4. توليف الآراء: محاولة إيجاد نقاط التقاء منطقية بين الرؤى المتعارضة. 5. صياغة التوصيات: الخروج ببيان ختامي يلخص الرأي العلمي الراجح للمجموعة.,المعلم: منسق للحوار وضابط للوقت. المتعلم: محاور ومفكر ناقد يعرض حججه ويفحص حجج الآخرين.,Kialo Edu,قدرة المجموعة على بناء رؤية متكاملة تحترم التعددية وتستند للدليل.,
15. طريقة السيمينار (الحلقة),الأكاديمية البحثية,1. التحضير البحثي: إعداد المتعلم لورقة بحثية معمقة حول نقطة متخصصة. 2. العرض الرسمي: تقديم الورقة أمام الزملاء والمعلم (الخبير) بأسلوب منهجي. 3. جلسة النقد: تلقي تساؤلات الأقران ونقدهم المنهجي للمصادر والنتائج. 4. الرد والاستجابة: الدفاع عن وجهة النظر أو قبول التعديلات المنطقية. 5. التوثيق النهائي: تعديل الورقة بناءً على النقاش ورفعها في سجل السيمينار.,المعلم: خبير مقيم وموجه للبحث. المتعلم: باحث ومدافع ينتج معرفة تخصصية ويتحمل مسؤولية إثباتها.,Zotero / Google Scholar,صمود الأطروحة البحثية أمام النقد الأكاديمي الرصين للأقران.,
16. طريقة المناظرة العلمية,المنطق الجدلي,1. صياغة الأطروحة: وضع قضية لها مؤيد ومعارض بوضوح حاد. 2. بناء الحجج: جمع الأدلة القطعية (أرقام، تجارب، نصوص) لدعم الموقف. 3. الجولة الافتتاحية: عرض كل فريق لموقفه الأساسي في زمن محدد. 4. المواجهة (التفنيد): قيام كل فريق بنقد حجج الخصم وكشف ثغراتها. 5. الخلاصة والتحكيم: تلخيص نهائي للحجج وإصدار حكم من لجنة على قوة الطرح.,المعلم: حكم محايد وضابط للقواعد. المتعلم: مفكر استدلالي يستخدم المنطق والبيانات لزعزعة موقف الخصم.,Debate Graph,اللتزام بقواعد المنطق في التفنيد وليس مجرد الخطابة الصوتية.,
17. طريقة تمثيل الأدوار,الاجتماعية الوجدانية,1. تحديد السيناريو: اختيار موقف واقعي يتضمن صراعاً أو مهارة (مثل مقابلة عمل). 2. توزيع الأدوار: تقمص المتعلمين للشخصيات مع فهم دوافعها النفسية. 3. الأداء الارتجالي: تمثيل الموقف مع التركيز على التفاعل اللفظي والحركي. 4. جلسة التفريغ: مناقشة المشاعر والقرارات التي تم اتخاذها أثناء التمثيل. 5. الربط المعرفي: تحويل التجربة الوجدانية إلى قواعد سلوكية أو مفاهيم علمية.,المعلم: مخرج تعليمي وميسر للتفريغ. المتعلم: متقمص ومحلل سلوكي يعيش التجربة ثم يحللها.,Flip,وصول المتعلم لدرجة التعاطف المعرفي وفهم أبعاد الموقف من الداخل.,
